City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Ahmedabad,2023-10-01,124,106.59,201.15,64.44,71.36,2.48,21.8
Delhi,2023-10-11,93,34.76,210.73,47.86,59.2,1.13,96.0
Chennai,2023-11-01,115,114.16,171.06,15.15,34.04,1.46,71.99
Kolkata,2023-02-12,140,163.04,139.37,119.93,35.99,0.54,63.27
Kolkata,2023-08-13,145,171.11,148.83,73.36,67.9,2.07,100.37
Hyderabad,2023-04-16,74,119.42,21.3,9.75,78.43,0.53,63.65
Hyderabad,2023-11-28,178,165.47,296.17,37.39,26.6,2.28,38.94
Ahmedabad,2023-12-30,116,144.4,96.13,112.92,53.92,0.31,24.68
Delhi,2023-02-08,102,56.54,224.59,15.23,29.35,2.3,85.72
Kolkata,2023-04-08,142,191.84,88.41,109.09,58.61,1.9,115.92
Bangalore,2023-02-10,168,164.77,254.13,46.46,33.23,2.24,81.09
Ahmedabad,2023-04-03,126,129.09,186.2,8.56,23.68,1.35,90.16
Hyderabad,2023-04-05,146,146.08,203.75,102.59,25.05,1.68,12.42
Mumbai,2023-09-05,147,146.64,207.18,91.03,16.74,0.56,39.29
Ahmedabad,2023-07-18,95,114.08,111.06,15.3,18.84,2.0,45.46
Pune,2023-07-13,83,29.46,199.95,42.39,51.35,2.12,29.81
Pune,2023-12-03,150,110.83,278.42,28.89,49.16,1.13,117.26
Hyderabad,2023-04-27,145,103.96,275.64,48.37,19.16,1.6,95.48
Kolkata,2023-09-06,108,40.78,254.47,96.63,13.91,1.04,19.56
Mumbai,2023-10-21,151,150.95,219.92,38.89,44.96,1.64,74.76
Kolkata,2023-10-23,27,15.43,38.48,49.13,60.48,2.3,9.31
Ahmedabad,2023-01-03,117,52.52,248.26,102.29,18.1,1.83,111.1
Mumbai,2023-09-28,110,92.4,193.69,8.0,33.56,0.56,83.57
Mumbai,2023-12-16,71,109.7,30.08,8.41,49.23,0.95,88.04
Kolkata,2023-01-19,179,173.54,268.98,39.97,53.54,0.84,115.6
Mumbai,2023-03-27,137,93.55,259.55,89.98,31.37,2.28,46.08
Kolkata,2023-10-12,176,155.77,297.39,11.2,23.37,1.9,138.73
Mumbai,2023-07-10,46,10.0,91.75,103.07,61.84,0.98,5.29
Pune,2023-05-08,108,55.21,228.77,56.33,54.93,2.16,82.69
Mumbai,2023-03-16,131,75.21,248.67,116.21,37.95,2.1,106.46
Mumbai,2023-01-21,107,164.11,41.69,87.03,43.77,0.24,41.44
Pune,2023-12-26,179,161.78,294.9,97.75,2.8,0.86,9.44
Mumbai,2023-11-14,146,105.68,257.31,104.13,50.06,2.33,77.51
Bangalore,2023-09-08,89,23.04,199.47,94.39,38.59,1.94,139.4
Chennai,2023-08-08,96,14.85,271.96,5.45,30.41,0.59,114.81
Ahmedabad,2023-10-27,95,115.16,102.58,20.37,62.2,0.7,37.43
Pune,2023-01-29,126,121.49,204.71,7.02,20.87,1.19,53.14
Chennai,2023-03-27,150,159.66,195.25,43.87,56.65,2.14,91.25
Kolkata,2023-10-31,107,118.63,107.41,90.76,18.13,1.99,121.66
Pune,2023-08-30,81,99.85,73.89,16.47,59.98,2.24,99.37
Ahmedabad,2023-07-19,196,187.63,296.95,54.84,48.4,1.99,111.78
Hyderabad,2023-04-04,90,31.83,182.6,84.57,71.43,2.21,146.81
Ahmedabad,2023-05-18,34,20.45,42.63,26.7,70.02,1.65,110.9
Kolkata,2023-01-21,154,119.11,271.16,106.44,35.13,1.17,28.36
Hyderabad,2023-08-28,155,194.05,161.33,57.51,15.62,1.72,71.68
Chennai,2023-01-26,55,60.26,38.62,64.72,26.41,1.83,109.91
Hyderabad,2023-05-20,107,137.13,92.43,88.62,3.25,0.55,40.53
Mumbai,2023-06-23,158,177.61,177.83,79.4,69.83,1.98,96.36
Hyderabad,2023-03-25,162,140.28,293.13,11.6,12.84,1.24,60.81
Mumbai,2023-12-16,118,40.52,293.31,41.23,35.46,0.83,89.01
Ahmedabad,2023-07-13,92,38.44,228.82,26.45,20.37,2.02,18.53
Mumbai,2023-08-20,58,14.38,117.11,85.38,9.03,2.24,136.88
Mumbai,2023-01-16,138,136.59,207.49,30.33,48.44,2.28,56.21
Pune,2023-10-23,123,146.16,118.05,89.45,75.36,0.41,49.39
Pune,2023-06-15,114,104.62,171.81,39.57,54.05,1.68,88.78
Pune,2023-11-14,96,100.62,119.74,61.47,73.91,1.31,7.03
Mumbai,2023-02-26,166,165.92,238.42,64.04,21.48,1.27,86.74
Kolkata,2023-08-26,130,141.08,172.06,70.08,10.25,1.2,17.55
Mumbai,2023-05-31,160,181.06,180.87,90.41,46.76,0.65,91.25
Chennai,2023-08-19,102,36.3,248.73,68.87,2.33,1.4,62.37
Delhi,2023-08-29,160,154.58,221.87,108.97,4.64,1.23,103.48
Chennai,2023-11-06,70,10.05,161.81,111.29,17.53,1.67,98.43
Kolkata,2023-03-28,81,55.32,149.37,26.64,47.63,1.31,80.28
Chennai,2023-03-31,129,83.88,258.26,78.21,13.0,1.69,32.74
Kolkata,2023-12-01,38,42.36,26.16,29.37,43.84,1.31,77.72
Pune,2023-12-09,123,143.81,120.23,106.33,52.23,1.84,45.21
Delhi,2023-04-02,170,174.42,250.28,19.17,31.18,1.72,99.56
Hyderabad,2023-04-21,70,36.65,140.38,16.18,32.39,0.23,135.25
Delhi,2023-06-25,107,171.46,36.77,31.16,22.23,1.09,121.42
Ahmedabad,2023-08-29,45,48.88,38.2,14.14,61.28,1.22,110.3
Hyderabad,2023-05-05,48,35.72,60.01,91.86,58.26,1.07,16.23
Hyderabad,2023-07-13,45,64.75,22.58,31.46,34.72,0.48,20.12
Hyderabad,2023-05-12,157,121.24,281.65,44.77,54.82,0.67,94.66
Mumbai,2023-11-20,165,135.98,284.58,56.77,60.45,1.69,73.58
Bangalore,2023-01-04,126,150.93,121.71,30.82,75.96,1.98,144.53
Bangalore,2023-10-27,77,105.96,58.36,28.22,33.84,1.14,51.05
Pune,2023-01-05,111,10.83,291.67,113.5,39.72,2.49,102.68
Chennai,2023-09-16,113,32.37,276.51,77.46,67.77,2.27,69.95
Kolkata,2023-08-08,40,45.77,38.64,26.71,34.02,0.47,29.18
Delhi,2023-05-16,91,74.63,150.94,54.35,52.27,2.36,20.64
Hyderabad,2023-09-25,151,172.03,161.79,93.14,18.8,2.11,138.96
Hyderabad,2023-11-13,159,143.96,256.95,32.08,15.22,0.36,135.08
Chennai,2023-08-22,73,68.47,100.03,40.03,54.11,2.39,52.77
Bangalore,2023-10-03,141,156.52,141.05,111.49,41.25,1.0,145.88
Hyderabad,2023-06-15,167,196.49,194.94,62.58,31.93,1.44,60.12
Delhi,2023-12-04,156,151.24,228.85,62.52,5.52,0.38,119.37
Kolkata,2023-07-28,166,169.42,221.46,108.15,13.73,1.09,72.3
Mumbai,2023-12-26,169,147.82,275.48,52.44,75.44,1.39,80.76
Hyderabad,2023-02-27,190,183.31,267.3,116.64,57.89,1.77,86.06
Delhi,2023-07-02,68,45.95,101.05,107.37,15.49,2.32,80.8
Kolkata,2023-09-07,58,30.95,95.33,115.23,22.76,0.88,33.65
Mumbai,2023-08-25,101,54.32,199.85,57.37,45.19,0.48,121.31
Mumbai,2023-02-26,56,14.1,127.38,12.91,63.78,1.9,135.79
Kolkata,2023-05-15,82,96.7,71.66,47.69,42.73,0.32,108.66
Ahmedabad,2023-04-17,141,180.07,127.68,51.42,49.46,1.93,111.52
Hyderabad,2023-09-28,129,140.61,146.16,65.27,45.81,1.88,125.54
Pune,2023-10-20,125,196.08,69.62,42.49,44.27,0.59,8.22
Pune,2023-07-15,169,172.45,243.17,94.06,3.71,1.41,12.87
Bangalore,2023-05-23,103,146.51,54.12,84.91,37.06,2.07,82.37
Hyderabad,2023-02-25,106,78.0,195.29,23.26,18.08,2.48,114.2
Ahmedabad,2023-03-30,66,66.21,66.08,62.85,40.58,0.6,111.32
Delhi,2023-11-12,101,73.08,177.82,88.54,39.59,1.41,25.15
Kolkata,2023-03-21,166,186.46,211.36,7.03,43.89,1.65,149.22
Delhi,2023-08-24,128,107.41,223.2,42.53,50.86,1.85,25.69
Bangalore,2023-09-23,132,146.07,140.9,107.26,26.33,0.3,99.23
Chennai,2023-06-02,130,139.83,166.65,84.65,5.43,1.05,35.57
Mumbai,2023-06-14,140,155.87,158.46,119.01,5.42,0.74,62.5
Ahmedabad,2023-07-17,155,185.06,176.8,10.19,33.81,1.16,145.0
Pune,2023-02-18,149,130.77,219.71,93.55,51.53,0.75,131.74
Kolkata,2023-02-16,179,150.96,299.04,97.29,66.67,2.39,26.91
Pune,2023-05-25,114,120.31,112.2,101.53,61.47,1.86,149.59
Pune,2023-10-24,130,78.59,252.65,115.73,74.94,0.58,7.06
Kolkata,2023-05-29,180,148.49,293.69,95.09,47.28,0.26,124.7
Delhi,2023-06-20,96,20.57,258.1,70.12,12.03,1.09,17.4
Pune,2023-12-03,119,63.66,262.51,46.15,40.58,0.35,44.96
Ahmedabad,2023-08-28,112,149.89,87.99,62.94,65.77,1.07,24.4
Ahmedabad,2023-08-10,163,170.73,200.47,97.15,63.34,0.64,99.27
Delhi,2023-11-08,136,120.83,209.68,119.68,4.38,0.41,16.17
Hyderabad,2023-10-06,173,166.1,256.34,89.75,71.96,0.94,17.78
Pune,2023-07-02,143,120.54,265.53,18.67,34.37,0.83,7.16
Bangalore,2023-04-19,111,164.52,81.94,22.39,13.28,1.27,40.74
Ahmedabad,2023-08-24,79,83.12,79.05,91.39,13.73,2.04,86.41
Pune,2023-11-07,81,10.9,229.77,10.92,76.11,1.82,51.42
Chennai,2023-10-31,185,181.54,269.64,98.01,65.88,1.52,9.09
Bangalore,2023-05-07,116,133.42,132.33,70.24,20.02,1.69,40.21
Chennai,2023-02-18,86,100.96,69.75,105.76,43.01,2.19,43.07
Hyderabad,2023-01-29,30,13.42,46.28,21.96,8.15,2.26,137.16
Chennai,2023-01-20,156,192.37,157.71,65.95,12.2,0.52,117.05
Ahmedabad,2023-08-21,128,168.57,97.44,58.6,37.82,2.49,142.63
Pune,2023-01-15,55,36.21,92.41,46.83,70.11,0.59,36.86
Pune,2023-03-21,152,186.11,161.07,79.39,32.2,0.63,37.31
Bangalore,2023-11-11,62,46.5,94.5,49.16,50.61,1.21,61.9
Hyderabad,2023-03-28,30,24.99,26.84,33.89,9.14,0.97,117.08
Mumbai,2023-02-08,151,126.08,258.7,37.44,71.03,1.12,63.13
Chennai,2023-02-06,106,28.64,293.14,20.93,28.59,0.93,15.83
Ahmedabad,2023-02-18,124,65.56,262.66,44.04,11.65,1.69,149.51
Mumbai,2023-12-18,130,63.12,292.12,25.56,41.87,0.75,140.19
Chennai,2023-07-05,127,164.79,108.14,51.4,20.9,2.25,137.61
Hyderabad,2023-09-16,173,199.86,202.71,47.83,27.88,2.34,131.37
Delhi,2023-10-29,112,77.15,218.93,41.17,11.31,0.91,67.97
Kolkata,2023-10-14,49,51.19,21.72,77.55,49.93,0.63,141.83
Delhi,2023-12-21,45,14.84,81.54,84.59,17.73,0.32,94.57
Hyderabad,2023-10-30,167,154.64,236.34,115.39,6.45,0.29,148.14
Pune,2023-05-08,90,145.92,47.01,13.03,14.5,1.18,20.98
Bangalore,2023-03-13,68,116.69,20.09,18.14,31.27,0.32,24.36
Delhi,2023-11-28,121,91.62,220.15,20.26,59.56,2.17,99.46
Kolkata,2023-09-26,128,93.72,204.82,117.53,76.24,1.11,94.31
Pune,2023-01-26,139,167.9,154.24,35.04,12.69,1.32,109.81
Kolkata,2023-02-25,125,173.74,77.19,87.77,24.55,1.77,101.54
Mumbai,2023-01-26,47,54.53,49.1,10.81,68.96,0.31,17.87
Kolkata,2023-08-05,131,178.66,113.22,27.06,57.81,0.93,53.34
Hyderabad,2023-03-17,125,57.81,271.09,69.56,43.95,0.81,126.09
Chennai,2023-04-20,57,39.55,77.76,58.85,62.81,2.36,101.21
Ahmedabad,2023-05-29,128,78.14,270.98,48.92,55.77,1.58,12.68
Hyderabad,2023-09-19,119,80.46,228.82,24.87,49.26,0.86,120.56
Chennai,2023-05-28,138,157.33,166.95,37.73,65.14,0.63,47.02
Ahmedabad,2023-05-13,149,138.1,212.15,80.04,34.42,0.43,137.12
Mumbai,2023-11-28,104,87.32,184.87,27.17,12.34,1.13,37.95
Delhi,2023-01-13,104,29.67,265.57,47.75,46.66,2.27,64.17
Bangalore,2023-08-14,62,37.77,103.2,60.47,55.91,0.76,82.56
Kolkata,2023-10-06,139,95.26,261.65,104.99,38.71,2.44,15.96
Pune,2023-01-26,108,82.33,188.31,77.36,39.16,0.49,29.72
Kolkata,2023-02-03,163,174.9,208.69,81.39,48.62,0.67,67.1
Kolkata,2023-07-17,83,112.08,25.2,114.66,67.9,0.8,94.39
Chennai,2023-04-22,72,28.24,160.85,57.47,34.0,2.12,60.19
Hyderabad,2023-09-04,33,22.51,31.97,52.05,58.04,0.67,98.74
Hyderabad,2023-08-04,100,58.49,188.16,83.76,38.4,0.97,94.78
Hyderabad,2023-10-19,93,91.1,129.69,58.39,7.95,1.47,52.66
Mumbai,2023-03-17,67,98.59,20.95,51.21,10.25,0.26,124.55
Pune,2023-06-11,83,49.46,171.0,36.97,40.5,1.2,44.01
Bangalore,2023-12-28,43,34.03,34.86,93.28,53.94,1.35,72.83
Ahmedabad,2023-12-08,99,119.3,102.65,53.57,39.95,1.57,41.4
Chennai,2023-07-08,66,85.73,42.97,65.58,67.49,0.47,21.35
Delhi,2023-04-11,112,171.09,42.6,118.1,29.95,0.96,18.29
Hyderabad,2023-05-01,83,89.34,79.37,64.98,52.61,0.92,108.64
Hyderabad,2023-01-21,76,66.2,118.23,55.08,2.31,1.33,42.09
Delhi,2023-09-20,181,177.17,279.54,7.81,79.1,1.83,80.46
Pune,2023-06-24,163,140.28,273.4,74.88,37.35,1.52,34.3
Mumbai,2023-01-17,92,45.51,176.03,79.47,72.09,1.24,117.42
Chennai,2023-07-05,82,39.68,166.94,73.58,51.32,1.92,47.77
Mumbai,2023-01-27,53,45.75,81.32,12.74,60.27,1.37,39.54
Hyderabad,2023-01-04,122,77.31,254.42,65.74,4.33,2.47,15.77
Hyderabad,2023-08-11,99,57.37,209.41,19.48,68.94,0.78,57.41
Hyderabad,2023-10-13,69,10.2,152.37,107.84,55.07,1.09,100.76
Delhi,2023-02-22,86,45.68,168.91,31.99,68.63,1.86,121.16
Mumbai,2023-02-06,48,54.14,33.64,38.45,33.13,1.64,120.67
Mumbai,2023-01-18,129,99.96,239.93,30.91,18.94,1.56,68.23
Kolkata,2023-03-24,117,77.84,232.68,72.06,6.26,0.39,34.46
Kolkata,2023-12-03,105,72.58,182.12,74.27,47.85,0.47,92.03
Bangalore,2023-01-07,186,181.58,275.36,93.34,56.84,0.46,17.28
Mumbai,2023-02-17,104,91.13,146.38,102.5,50.47,0.61,35.6
Ahmedabad,2023-03-07,135,145.03,155.97,114.25,57.69,0.44,28.42
Pune,2023-03-30,137,185.73,89.23,99.94,26.36,0.82,135.7
Mumbai,2023-01-13,92,135.54,32.09,97.09,66.69,2.25,31.98
Ahmedabad,2023-03-03,128,184.31,108.61,29.97,10.31,0.5,14.02
Pune,2023-08-04,95,92.08,109.84,86.25,69.88,2.0,81.94
Mumbai,2023-10-02,50,59.28,44.07,36.47,9.21,1.37,68.56
Delhi,2023-07-15,88,43.21,195.31,49.52,6.38,2.32,63.72
Pune,2023-03-21,189,182.68,286.05,35.95,60.83,0.75,111.95
Delhi,2023-01-06,106,56.97,220.44,98.39,29.97,0.59,18.33
Bangalore,2023-06-12,137,166.36,142.04,66.71,23.8,0.58,74.9
Bangalore,2023-03-07,158,109.17,286.79,74.45,49.25,0.49,149.49
Bangalore,2023-07-04,142,176.67,136.0,62.74,42.72,0.65,104.98
Kolkata,2023-05-28,49,41.1,44.17,89.9,23.31,1.63,105.88
Mumbai,2023-04-02,148,164.88,174.0,104.93,61.54,2.2,7.92
Hyderabad,2023-11-13,71,27.1,143.78,107.35,38.47,2.15,52.44
Ahmedabad,2023-05-17,172,148.36,285.51,53.83,28.72,1.77,122.1
Chennai,2023-02-20,101,170.89,36.2,5.74,14.36,2.45,80.92
Pune,2023-12-08,161,151.53,254.64,29.49,10.23,1.38,116.97
Kolkata,2023-08-23,141,129.9,231.99,31.11,53.6,1.1,15.11
Hyderabad,2023-03-04,175,180.92,227.71,116.8,48.73,0.76,52.51
Pune,2023-07-29,107,72.03,208.43,66.04,32.06,0.54,8.21
Chennai,2023-09-08,129,136.47,162.77,39.78,46.05,0.49,114.58
Bangalore,2023-12-18,96,51.14,189.79,62.88,6.74,0.84,149.92
Kolkata,2023-06-10,128,171.37,104.18,34.98,71.48,0.9,99.47
Pune,2023-05-12,188,159.84,298.53,97.37,53.25,2.26,136.33
Hyderabad,2023-02-21,111,157.53,74.58,86.63,7.86,0.93,21.79
Kolkata,2023-08-28,101,65.75,199.11,52.81,48.38,1.17,27.18
Ahmedabad,2023-11-08,135,161.86,158.13,24.0,34.35,2.01,64.86
Kolkata,2023-12-19,175,193.42,242.11,43.28,38.85,0.66,7.28
Hyderabad,2023-12-09,113,80.19,178.02,113.57,75.93,0.36,94.12
Kolkata,2023-09-04,103,133.14,52.96,113.84,69.42,0.25,118.41
Pune,2023-04-24,124,104.12,188.74,83.0,70.99,1.96,88.43
Kolkata,2023-10-10,65,67.03,53.16,89.12,78.33,0.47,67.6
Ahmedabad,2023-10-18,173,157.54,285.64,62.38,33.94,2.29,24.34
Hyderabad,2023-05-23,111,84.5,176.63,65.75,50.05,2.37,142.91
Mumbai,2023-03-14,119,168.06,106.89,12.26,7.83,0.78,30.81
Pune,2023-12-25,118,71.12,245.31,24.99,40.44,1.78,99.54
Ahmedabad,2023-03-23,128,185.72,83.99,61.78,70.95,0.38,13.1
Hyderabad,2023-07-30,99,130.27,92.77,26.88,37.79,1.61,41.04
Delhi,2023-06-25,162,126.58,284.81,82.6,63.07,1.04,44.48
Delhi,2023-02-26,139,96.7,257.08,118.71,7.62,0.3,26.69
Delhi,2023-01-11,105,34.9,263.79,7.66,26.63,0.62,140.07
Bangalore,2023-05-15,139,178.75,122.77,103.8,26.12,1.42,25.85
Hyderabad,2023-06-22,131,149.84,168.43,7.98,39.54,0.72,64.94
Delhi,2023-09-11,123,156.22,87.75,118.27,72.45,1.42,81.87
Bangalore,2023-07-18,131,174.86,99.56,95.05,54.34,1.58,32.86
Mumbai,2023-04-26,86,68.81,139.49,52.6,62.71,0.85,31.41
Kolkata,2023-11-10,90,126.85,54.04,5.28,73.58,0.38,135.19
Bangalore,2023-04-18,101,134.08,71.97,99.75,16.06,1.09,39.51
Chennai,2023-11-26,115,156.11,98.86,6.65,11.22,2.22,126.3
Pune,2023-07-23,121,64.19,242.0,112.84,62.77,1.59,40.19
Ahmedabad,2023-08-31,40,33.07,20.96,110.49,25.78,0.71,106.28
Chennai,2023-02-10,120,58.35,261.26,63.7,31.73,1.59,106.59
Kolkata,2023-05-19,112,186.18,38.13,18.02,48.55,1.01,72.31
Kolkata,2023-01-07,156,166.3,186.17,119.69,63.38,0.83,43.33
Mumbai,2023-04-30,119,125.33,152.38,37.0,33.51,2.05,115.42
Mumbai,2023-03-05,104,152.47,60.29,16.4,69.2,2.13,103.79
Mumbai,2023-04-30,78,79.71,82.74,81.78,73.22,1.21,48.97
Kolkata,2023-04-05,76,14.5,165.69,118.65,65.59,2.26,95.07
Pune,2023-11-15,90,50.93,170.54,100.82,27.24,0.78,45.45
Bangalore,2023-11-19,65,78.26,21.01,94.89,56.54,0.5,147.81
Pune,2023-11-14,123,142.65,150.83,26.96,42.6,1.02,47.16
Chennai,2023-06-14,139,93.41,268.25,89.42,54.09,1.28,5.27
Hyderabad,2023-07-08,135,164.51,128.69,69.84,17.97,2.31,138.86
Chennai,2023-10-14,151,175.93,179.2,49.29,10.8,2.38,81.88
Delhi,2023-03-05,81,76.54,95.8,74.21,74.54,2.17,71.76
Mumbai,2023-01-06,75,86.24,73.42,56.97,75.36,2.0,24.16
Mumbai,2023-08-19,133,188.11,97.55,43.34,11.85,0.99,102.61
Bangalore,2023-07-05,100,93.36,140.94,69.03,47.37,2.17,49.71
Pune,2023-05-14,97,117.53,104.15,38.94,30.17,1.63,38.47
Kolkata,2023-06-16,147,119.23,277.6,10.34,28.72,0.25,44.48
Bangalore,2023-08-04,59,16.96,142.12,18.52,34.51,2.13,95.35
Hyderabad,2023-09-18,140,76.33,284.43,86.57,34.9,1.18,138.21
Ahmedabad,2023-05-24,113,135.33,112.44,80.53,21.09,1.86,57.14
Mumbai,2023-03-16,65,35.97,121.35,58.35,35.06,1.2,69.5
Delhi,2023-07-08,108,46.7,235.23,68.46,34.26,1.66,128.76
Delhi,2023-01-12,114,174.31,46.26,80.1,27.99,1.09,87.8
Bangalore,2023-02-27,84,82.54,106.33,76.11,41.44,0.94,34.72
Delhi,2023-12-29,115,161.95,79.86,35.09,20.65,2.23,117.25
Chennai,2023-10-07,106,168.21,30.32,34.12,73.68,2.19,118.31
Mumbai,2023-09-27,162,177.49,203.98,38.98,38.13,2.23,136.0
Ahmedabad,2023-03-13,100,149.19,31.0,74.53,55.74,0.25,127.36
Chennai,2023-10-11,117,55.21,256.82,81.53,47.29,2.14,46.41
Mumbai,2023-11-26,115,69.76,240.49,56.87,11.12,1.08,38.86
Bangalore,2023-11-12,174,158.21,266.79,111.62,68.61,2.11,14.98
Kolkata,2023-03-14,142,192.57,133.38,7.91,49.03,0.87,67.78
Bangalore,2023-02-01,106,17.72,292.6,14.22,32.12,1.69,132.61
Bangalore,2023-08-21,70,15.52,165.96,59.18,25.94,2.21,113.65
Chennai,2023-05-10,106,40.74,213.88,117.14,49.73,0.59,149.39
Chennai,2023-11-15,117,169.61,61.82,81.6,73.18,1.42,46.86
Kolkata,2023-10-12,81,66.23,119.37,86.64,15.93,0.44,61.11
Pune,2023-06-27,159,144.43,269.0,38.23,43.23,1.04,5.21
Ahmedabad,2023-06-03,98,165.0,30.2,5.4,58.77,1.77,63.85
Pune,2023-10-01,129,191.14,89.4,33.28,16.53,1.87,56.21
Delhi,2023-08-21,121,145.78,122.87,22.16,48.18,0.88,136.3
Hyderabad,2023-07-06,97,65.6,184.79,20.75,45.8,0.33,93.0
Mumbai,2023-05-20,124,108.95,211.57,10.11,37.86,1.22,71.67
Ahmedabad,2023-08-25,90,36.46,213.32,51.23,41.91,1.95,27.82
Chennai,2023-06-22,151,173.47,164.3,66.58,69.14,1.33,103.83
Hyderabad,2023-08-09,160,140.08,276.87,51.97,20.17,2.19,28.43
Hyderabad,2023-07-27,161,185.42,208.83,27.5,13.88,0.78,61.75
Kolkata,2023-03-19,133,161.58,119.97,112.65,67.71,2.29,47.7
Chennai,2023-12-23,98,58.82,189.98,99.07,9.3,0.83,34.74
Delhi,2023-10-09,120,187.34,42.38,48.61,73.33,0.99,108.34
Hyderabad,2023-11-27,131,105.63,232.15,38.21,22.61,0.9,85.58
Bangalore,2023-09-01,111,167.88,36.22,106.08,9.42,1.16,115.98
Pune,2023-09-10,59,17.68,112.4,88.94,42.7,1.16,122.9
Chennai,2023-02-21,131,159.35,148.72,7.24,15.43,1.9,114.21
Pune,2023-05-01,49,46.14,54.42,20.96,16.41,1.42,146.41
Chennai,2023-03-06,123,109.31,208.54,13.5,65.6,1.69,29.82
Mumbai,2023-01-04,50,22.32,94.74,49.96,21.1,0.76,88.08
Chennai,2023-09-25,100,113.3,97.0,65.15,41.7,0.93,125.38
Bangalore,2023-08-16,139,73.13,285.25,102.19,78.64,1.79,59.84
Bangalore,2023-05-21,170,136.03,294.63,77.07,70.77,0.96,64.01
Ahmedabad,2023-12-08,183,153.8,294.79,94.1,36.98,1.42,135.57
Kolkata,2023-09-10,101,66.53,171.7,114.64,26.32,0.91,75.0
Pune,2023-05-31,76,10.26,192.45,119.7,24.78,1.65,5.67
Kolkata,2023-06-05,109,94.94,168.48,67.55,15.8,1.97,85.54
Bangalore,2023-07-06,92,95.34,113.77,66.38,37.3,0.28,42.76
Kolkata,2023-08-02,164,174.81,187.68,92.82,76.63,1.68,147.48
Pune,2023-08-09,100,12.09,256.98,98.89,3.58,1.45,136.47
Hyderabad,2023-01-18,92,40.81,181.51,109.81,67.72,1.55,59.68
Bangalore,2023-03-31,130,99.23,230.58,46.43,20.36,2.34,124.13
Mumbai,2023-01-12,46,35.99,60.57,16.87,50.07,0.47,127.18
Ahmedabad,2023-06-26,33,11.62,54.17,72.53,25.2,2.28,63.89
Delhi,2023-02-15,133,113.66,242.59,7.23,41.43,1.98,20.02
Pune,2023-08-17,62,60.26,67.77,72.76,15.65,1.76,76.06
Mumbai,2023-10-08,167,183.37,208.5,67.79,31.2,0.51,107.59
Kolkata,2023-01-24,117,43.88,274.2,79.47,39.27,2.07,70.38
Bangalore,2023-01-14,49,10.52,122.4,20.96,55.8,1.3,48.75
Hyderabad,2023-12-21,117,49.83,279.02,11.21,69.5,1.38,94.75
Bangalore,2023-01-22,141,193.67,98.92,72.72,79.49,2.23,82.77
Mumbai,2023-06-28,107,143.26,78.44,51.64,28.09,0.99,115.27
Chennai,2023-04-08,103,17.24,265.69,39.13,79.77,2.39,141.38
Bangalore,2023-09-15,93,111.2,82.8,34.86,49.65,0.29,145.57
Hyderabad,2023-02-11,102,82.35,164.32,58.6,70.81,1.78,45.33
Ahmedabad,2023-02-13,142,91.5,288.61,25.16,8.99,2.23,135.02
Kolkata,2023-05-17,122,107.09,204.73,69.79,7.42,1.57,6.97
Mumbai,2023-02-06,142,187.14,105.13,113.08,21.51,0.92,96.12
Kolkata,2023-09-11,63,23.04,123.14,115.67,3.16,2.25,59.35
Kolkata,2023-09-25,21,12.85,39.75,24.76,3.98,0.97,11.51
Bangalore,2023-04-12,175,165.59,268.49,68.15,75.83,0.21,24.43
Pune,2023-12-27,180,187.76,239.7,80.08,35.82,0.46,107.91
Mumbai,2023-08-17,96,149.98,24.68,62.07,49.94,1.79,109.36
Mumbai,2023-10-03,127,52.44,283.82,85.12,20.47,0.94,138.68
Delhi,2023-04-10,59,86.98,30.73,10.58,24.15,1.65,89.71
Delhi,2023-12-21,84,146.28,25.33,17.08,30.04,0.56,15.92
Hyderabad,2023-02-04,164,117.23,298.06,93.61,42.36,1.1,90.97
Kolkata,2023-01-05,143,103.19,254.06,98.57,7.57,0.4,100.67
Delhi,2023-09-15,163,142.17,284.52,41.4,28.03,2.17,26.73
Delhi,2023-06-24,149,106.42,279.4,43.73,57.84,1.31,95.89
Bangalore,2023-11-15,170,193.75,213.79,33.9,72.95,0.88,58.88
Bangalore,2023-10-23,128,180.99,100.11,34.78,73.78,2.05,25.46
Pune,2023-01-09,120,183.48,41.98,99.9,44.7,1.74,76.46
Kolkata,2023-10-16,112,109.29,165.98,47.52,11.62,1.09,55.07
Ahmedabad,2023-12-23,142,172.69,125.11,86.62,65.32,0.69,135.74
Mumbai,2023-11-16,119,181.33,65.82,43.77,49.21,2.28,42.08
Chennai,2023-05-10,105,144.98,64.72,60.14,39.56,0.9,118.09
Ahmedabad,2023-09-10,116,74.8,219.69,65.28,19.38,2.15,123.64
Mumbai,2023-05-29,113,168.72,55.99,35.75,55.12,2.46,120.59
Bangalore,2023-08-08,103,135.66,51.66,119.11,39.49,1.67,132.04
Mumbai,2023-07-12,145,195.44,120.56,44.05,13.31,2.17,131.27
Chennai,2023-07-01,104,20.59,277.14,19.13,50.43,1.63,131.11
Ahmedabad,2023-10-27,145,92.46,292.83,31.31,22.49,0.39,146.42
Bangalore,2023-12-06,85,12.3,217.21,51.48,77.47,0.84,107.99
Hyderabad,2023-03-26,96,12.29,267.86,21.06,53.76,1.98,96.48
Chennai,2023-10-28,139,195.28,86.31,77.2,64.18,2.36,92.58
Chennai,2023-04-16,109,168.96,65.7,7.56,72.84,1.52,15.1
